========================================================================= 
Log Path: log_file.log 
Working Directory: /home/user/Projects/CUNY/bergeys.webscraper/misc 
User Name: user 
R Version: 4.3.1 (2023-06-16) 
Machine: pop-os x86_64 
Operating System: Linux 6.5.6-76060506-generic #202310061235~1697396945~22.04~9283e32 SMP PREEMPT_DYNAMIC Sun O 
Base Packages: stats graphics grDevices utils datasets methods base Other Packages: readr_2.1.4 logr_1.3.4 dplyr_1.1.3 purrr_1.0.2 stringr_1.5.0 rvest_1.0.3 
Log Start Time: 2023-11-10 11:15:26.462624 
========================================================================= 
Number of links: 1373 

Got Pseudoclavibacter † - Number 111. Time: 2023-11-10 11:18:14.569462. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00111/abstract 
Got Rathayibacter † - Number 112. Time: 2023-11-10 11:18:16.198089. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00112/abstract 
Got Rhodoglobus † - Number 113. Time: 2023-11-10 11:18:18.731252. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00113/abstract 
Got Salinibacterium † - Number 114. Time: 2023-11-10 11:18:20.179667. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00114/abstract 
Got Subtercola † - Number 115. Time: 2023-11-10 11:18:21.516817. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00115/abstract 
Got Yonghaparkia † - Number 116. Time: 2023-11-10 11:18:22.606025. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00116/abstract 
Got Acaricomes † - Number 117. Time: 2023-11-10 11:18:24.045053. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00117/abstract 
Got Arthrobacter† - Number 118. Time: 2023-11-10 11:18:26.400837. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00118/abstract 
Got Citricoccus † - Number 119. Time: 2023-11-10 11:18:27.920186. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00119/abstract 
Got Kocuria † - Number 120. Time: 2023-11-10 11:18:29.46592. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00120/abstract 
Got Micrococcus † - Number 121. Time: 2023-11-10 11:18:33.243803. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00121/abstract 
Got Nesterenkonia † - Number 122. Time: 2023-11-10 11:18:36.177687. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00122/abstract 
Got Renibacterium † - Number 123. Time: 2023-11-10 11:18:37.404747. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00123/abstract 
Got Rothia † - Number 124. Time: 2023-11-10 11:18:38.924149. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00124/abstract 
